Measured Current,current
-1.2678E-5,-27566
-1.1408E-5,-24851
-1.0136E-5,-22091
-0.8866E-5,-19325
-0.7593E-5,-16553
-0.6321E-5,-13784
-0.5052E-5,-11019
-0.3780E-5,-8249
-0.2508E-5,-5478
-1.2350E-6,-2706
+0.3794E-7,62
+1.3110E-6,2841
+0.2578E-5,5608
+0.3851E-5,8378
+0.5121E-5,11146
+0.6392E-5,13915
+0.7661E-5,16680
+0.8934E-5,19453
+1.0205E-5,22221
+1.1477E-5,24983
+1.2746E-5,27693
