Measured Current,current
-0.2452E-3,-27551
-0.2206E-3,-24834
-0.1960E-3,-22073
-1.7141E-4,-19307
-1.4683E-4,-16536
-1.2221E-4,-13767
-0.9764E-4,-11002
-0.7302E-4,-8232
-0.4839E-4,-5460
-0.2377E-4,-2689
+0.8836E-6,79
+0.2549E-4,2858
+0.5009E-4,5625
+0.7470E-4,8395
+0.9930E-4,11163
+1.2391E-4,13931
+1.4848E-4,16696
+1.7312E-4,19469
+1.9773E-4,22237
+0.2221E-3,24999
+0.2466E-3,27710
