Measured Current,current
-5.06179520E-03,-27541
-4.55427910E-03,-24825
-4.04635650E-03,-22065
-3.53875610E-03,-19300
-3.03041450E-03,-16530
-2.52237440E-03,-13762
-2.01532930E-03,-10998
-1.50731150E-03,-8230
-9.98996800E-04,-5460
-4.90887700E-04,-2690
+1.76912000E-05,78
+5.25874200E-04,2854
+1.03338470E-03,5620
+1.54148450E-03,8389
+2.04911220E-03,11156
+2.55673750E-03,13923
+3.06386290E-03,16687
+3.57243270E-03,19458
+4.08007070E-03,22225
+4.58817340E-03,24987
+5.09542880E-03,27696
