 3482.617 
 3275.95312560935 
 3275.98270171999 
-22.8403496640672 
Error 2007
Error 2007
Error 2007
 3.05742940633246E-04 
 3.057313486522E-04 
 1.87570616244154E-03 
 3.056990068679E-04 
 3.05696315209758E-04 
 2.05089852376265E-03 
 3.64412146681048E-03 
 1.83667573950041E-04 
 8.88769620470742E-06 
 4.5946643670432E-07 
Error 2007
Error 2007
Error 2007
Error 2007
 3.64620934953277E-03 
 1.83712146556398E-04 
 8.89565894492439E-06 
 4.59722592755141E-07 
Error 2007
Error 2007
Error 2007
Error 2007
 4.66003201210821E-02 
 2.4183216242167E-03 
 1.01184328229996E-04 
 5.38891917712956E-06 
Error 2007
Error 2007
Error 2007
Error 2007
 50.0473232009982 
 984.699710166194 
 20340.500469902 
 393443.623125649 
Error 2007
Error 2007
Error 2007
Error 2007
 50.0239744712063 
 984.409562942078 
 20321.1604746432 
 393225.901003805 
Error 2007
Error 2007
Error 2007
Error 2007
-19.856290392904 
-16.7704748527282 
-16.7753274866987 
-13.8014312326435 
Error 2007
Error 2007
Error 2007
Error 2007
