Measured Voltage,ref,ewe,ece
-8.98886280E+00,0,-29412,-29404
-7.99010920E+00,0,-26145,-26136
-6.99121240E+00,0,-22877,-22869
-5.99157580E+00,0,-19608,-19599
-4.99288940E+00,0,-16340,-16331
-3.99324180E+00,0,-13070,-13061
-2.99314930E+00,0,-9798,-9789
-1.99381240E+00,0,-6530,-6520
-9.94528420E-01,0,-3261,-3251
-4.52937010E-01,0,-1489,-1479
+5.28720700E-03,0,10,19
+4.63192570E-01,0,1507,1516
+1.00464920E+00,0,3279,3288
+2.00424020E+00,0,6549,6558
+3.00407360E+00,0,9819,9828
+4.00412000E+00,0,13090,13100
+5.00374930E+00,0,16360,16370
+6.00292200E+00,0,19629,19639
+7.00275770E+00,0,22900,22910
+8.00223020E+00,0,26169,26179
+9.00088320E+00,0,29435,29446
