Measured Current,current
-9.97360290E-02,-27314
-8.97349450E-02,-24622
-7.97194070E-02,-21882
-6.97208330E-02,-19139
-5.97121500E-02,-16392
-4.96995780E-02,-13645
-3.96898630E-02,-10900
-2.96880280E-02,-8158
-1.96712410E-02,-5411
-9.65548110E-03,-2666
+3.71371400E-04,87
+1.03876440E-02,2832
+2.03809950E-02,5579
+3.04101130E-02,8335
+4.04077520E-02,11083
+5.04250580E-02,13836
+6.04223230E-02,16582
+7.04498550E-02,19336
+8.04439540E-02,22080
+9.04627620E-02,24822
+1.00427040E-01,27506
