Measured Current,current
-5.06997070E-03,-27555
-4.56218550E-03,-24850
-4.05362850E-03,-22091
-3.54579700E-03,-19325
-3.03758970E-03,-16557
-2.52919710E-03,-13787
-2.02106050E-03,-11021
-1.51326870E-03,-8256
-1.00474840E-03,-5488
-4.96258600E-04,-2721
+1.28204000E-05,54
+5.21204000E-04,2820
+1.02850120E-03,5588
+1.53769500E-03,8366
+2.04511710E-03,11135
+2.55372220E-03,13909
+3.06126380E-03,16677
+3.57041990E-03,19453
+4.07792840E-03,22218
+4.58671910E-03,24981
+5.09410890E-03,27680
