Measured Current,current
-0.2454E-3,-27554
-0.2208E-3,-24846
-0.1962E-3,-22084
-1.7154E-4,-19318
-1.4694E-4,-16542
-1.2232E-4,-13770
-0.9770E-4,-10998
-0.7311E-4,-8230
-0.4847E-4,-5458
-0.2389E-4,-2691
+0.7075E-6,78
+0.2534E-4,2847
+0.4991E-4,5610
+0.7458E-4,8385
+0.9916E-4,11151
+1.2381E-4,13923
+1.4840E-4,16687
+1.7305E-4,19460
+1.9764E-4,22225
+0.2221E-3,24986
+0.2467E-3,27681
