Measured Current,current
-9.96391000E-02,-27308
-8.96441800E-02,-24616
-7.96387390E-02,-21877
-6.96504640E-02,-19136
-5.96355450E-02,-16384
-4.96352470E-02,-13636
-3.96311120E-02,-10888
-2.96448270E-02,-8145
-1.96354990E-02,-5396
-9.64748570E-03,-2653
+3.43590800E-04,92
+1.03525560E-02,2836
+2.03346990E-02,5577
+3.03549630E-02,8327
+4.03430400E-02,11069
+5.03553480E-02,13818
+6.03443180E-02,16559
+7.03576700E-02,19308
+8.03467200E-02,22049
+9.03591610E-02,24788
+1.00312080E-01,27468
