Measured Current,current
-5.06595270E-03,-27538
-4.55802290E-03,-24835
-4.04960040E-03,-22075
-3.54208870E-03,-19310
-3.03309990E-03,-16535
-2.52493290E-03,-13765
-2.01657300E-03,-10994
-1.50921520E-03,-8227
-1.00057810E-03,-5456
-4.93075700E-04,-2690
+1.45667000E-05,78
+5.23229400E-04,2844
+1.03020180E-03,5607
+1.53931690E-03,8380
+2.04685070E-03,11145
+2.55557510E-03,13916
+3.06308620E-03,16680
+3.57197070E-03,19451
+4.07950720E-03,22214
+4.58836130E-03,24974
+5.09569530E-03,27665
