 3482.617 
 3276.67728647368 
 3276.18983478896 
-26.7222941413777 
Error 2007
Error 2007
Error 2007
 3.04622922218587E-04 
 3.04627731241012E-04 
 2.16505132903146E-03 
 3.04589662775258E-04 
 3.04589454705854E-04 
 7.73091759286911E-04 
 3.64744169517472E-03 
 1.83894642526095E-04 
 8.89951805530898E-06 
 4.6005594449468E-07 
Error 2007
Error 2007
Error 2007
Error 2007
 3.64486669132225E-03 
 1.83718192357197E-04 
 8.8950486459299E-06 
 4.59656677669735E-07 
Error 2007
Error 2007
Error 2007
Error 2007
 3.10606526447786E-02 
 1.63549230231237E-03 
 6.25704094388261E-05 
 3.94537793891498E-06 
Error 2007
Error 2007
Error 2007
Error 2007
 50.0040096164476 
 983.976689211872 
 20322.3964307457 
 393095.336819777 
Error 2007
Error 2007
Error 2007
Error 2007
 50.0033769554482 
 984.04540432234 
 20314.1856115208 
 393085.51902309 
Error 2007
Error 2007
Error 2007
Error 2007
-17.62562634435 
-14.7718324223875 
-14.5391370491601 
-11.9187803917529 
Error 2007
Error 2007
Error 2007
Error 2007
