Measured Current,current
-1.2689E-5,-27572
-1.1417E-5,-24863
-1.0144E-5,-22101
-0.8874E-5,-19335
-0.7599E-5,-16559
-0.6327E-5,-13786
-0.5055E-5,-11015
-0.3785E-5,-8246
-0.2511E-5,-5474
-1.2409E-6,-2707
+0.2965E-7,62
+1.3039E-6,2831
+0.2570E-5,5595
+0.3845E-5,8369
+0.5116E-5,11134
+0.6389E-5,13907
+0.7660E-5,16672
+0.8934E-5,19444
+1.0205E-5,22209
+1.1478E-5,24971
+1.2748E-5,27669
