Measured Voltage,ref,ewe,ece
-8.99218340E+00,0,-29525,-29524
-7.99210060E+00,0,-26241,-26240
-6.99243150E+00,0,-22959,-22958
-5.99309040E+00,0,-19679,-19677
-4.99305400E+00,0,-16396,-16394
-3.99345430E+00,0,-13114,-13112
-2.99433090E+00,0,-9833,-9832
-1.99510800E+00,0,-6553,-6551
-9.95342800E-01,0,-3271,-3269
-4.53934310E-01,0,-1494,-1491
+3.55693700E-03,0,6,8
+4.60907140E-01,0,1507,1509
+1.00238990E+00,0,3285,3287
+2.00242760E+00,0,6568,6570
+3.00192160E+00,0,9849,9851
+4.00159740E+00,0,13131,13133
+5.00213370E+00,0,16416,16418
+6.00146970E+00,0,19697,19699
+7.00112270E+00,0,22979,22981
+8.00058090E+00,0,26260,26263
+9.00008510E+00,0,29541,29544
