Measured Current,current
-1.2706E-5,-27637
-1.1433E-5,-24922
-1.0161E-5,-22158
-0.8890E-5,-19388
-0.7616E-5,-16614
-0.6345E-5,-13843
-0.5074E-5,-11074
-0.3803E-5,-8303
-0.2531E-5,-5530
-1.2611E-6,-2763
+1.0776E-8,7
+1.2836E-6,2776
+0.2549E-5,5539
+0.3822E-5,8309
+0.5092E-5,11074
+0.6366E-5,13849
+0.7635E-5,16613
+0.8910E-5,19387
+1.0180E-5,22153
+1.1454E-5,24918
+1.2725E-5,27626
