 0 
 3276.00617795963 
 3276.58938390123 
-12.9754974796473 
Error 2007
Error 2007
Error 2007
 3.04600112765129E-04 
 3.04608906722879E-04 
 1.43612806328548E-03 
 3.04591785814741E-04 
 3.04595419528656E-04 
 8.41467479720308E-04 
 3.64465364302627E-03 
 1.83754506608715E-04 
 4.59777301750829E-07 
 4.59777301750829E-07 
Error 2007
Error 2007
Error 2007
Error 2007
 3.64164437158774E-03 
 1.83586819980676E-04 
 4.59441764801954E-07 
 4.59441764801954E-07 
Error 2007
Error 2007
Error 2007
Error 2007
 0.076929839195308 
 4.19999598242575E-03 
 9.45466802378728E-06 
 9.45466802378728E-06 
Error 2007
Error 2007
Error 2007
Error 2007
 50.0373599072627 
 984.270035460675 
 393237.022285521 
 393237.022285521 
Error 2007
Error 2007
Error 2007
Error 2007
 50.0400663073226 
 984.337442444669 
 393201.224559542 
 393201.224559542 
Error 2007
Error 2007
Error 2007
Error 2007
-9.83846674710637 
-7.15568340535722 
-3.88186741836599 
-3.88186741836599 
Error 2007
Error 2007
Error 2007
Error 2007
